Date,Close,Volume,10k Earnings Sentiment,Comp 1,Comp 2,S&P Price Change,Interest rate change
12/1/2017,35.939999,7336500,0.151,-0.0048,0.00737,0.00378,
12/4/2017,37.450001,14112000,0.151,0.02117,0.03262,0.00379,
12/5/2017,37.310001,8227500,0.151,0.02021,-0.0035,0.0038,
12/6/2017,37.389999,5706000,0.151,0.00034,-0.0033,0.0038,
12/7/2017,37.34,8103400,0.151,0.01349,0.00699,0.00379,
12/8/2017,37.5,7833900,0.151,-0.0008,0.00477,0.00377,
12/11/2017,37.59,5916800,0.151,-0.0074,0.00745,0.00376,
12/12/2017,37.360001,7197800,0.151,0.0248,0.00995,0.00375,
12/13/2017,36.639999,8078700,0.151,-0.0154,-0.0169,0.00375,
12/14/2017,36.990002,5601700,0.151,-0.003,-0.002,0.00376,
12/15/2017,37.189999,8883500,0.151,0.01098,0.01249,0.00375,
12/18/2017,38.509998,8723500,0.151,0.01754,0.01837,0.00373,
12/19/2017,38.18,7137000,0.151,-0.0092,-0.0001,0.00374,
12/20/2017,37.959999,3489700,0.151,-0.0036,-0.0028,0.00374,
12/21/2017,38.599998,4162700,0.151,0.02444,0.00396,0.00374,
12/22/2017,38.77,4260000,0.151,-0.001,0.01433,0.00374,
12/26/2017,38.709999,3130500,0.151,-0.0068,0.00169,0.00374,
12/27/2017,38.599998,2607200,0.151,-0.0029,-0.0039,0.00374,
12/28/2017,38.970001,3472700,0.151,0.00574,0.00702,0.00373,
12/29/2017,38.610001,3506500,0.151,-0.0103,-0.0075,0.00375,
1/2/2018,38.860001,3326900,0.139,0.00692,-0.0001,0.00372,
1/3/2018,39.119999,4327300,0.139,0.00769,0.00741,0.0037,
1/4/2018,39.400002,3645900,0.139,0.01251,0.00994,0.00368,
1/5/2018,39.740002,4686500,0.139,0.00674,-0.0012,0.00366,
1/8/2018,39.259998,4959600,0.139,-0.0113,-0.0075,0.00365,
1/9/2018,39.439999,6594300,0.139,0.00355,0.00864,0.00364,
1/10/2018,39.66,7627100,0.139,0.01381,0.01572,0.00365,
1/11/2018,39.759998,6144200,0.139,-0.0017,0.0112,0.00362,
1/12/2018,39.369999,8532100,0.139,-0.0073,0.00187,0.0036,
1/16/2018,37.93,12961200,0.139,-0.0008,-0.0195,0.00361,
1/17/2018,38.060001,10728700,0.139,0.02208,-0.0001,0.00358,
1/18/2018,37.299999,13731000,0.139,0.0011,-0.009,0.00358,
1/19/2018,38.470001,11775700,0.139,0.00422,0.00128,0.00357,
1/22/2018,39.52,15163700,0.139,0.00794,0.00702,0.00354,
1/23/2018,39.779999,8378400,0.139,-0.0037,-0.0019,0.00353,
1/24/2018,39.740002,7679400,0.139,0.01535,0.00025,0.00353,
